train/reward,train/entropy_loss,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_loss,time/time_elapsed,train/learning_rate,train/n_updates,train/value_loss,train/std
-0.09218936,-38.32232666015625,40000,510,4000,-0.2287524938583374,5.622029781341553,78,0.0001,3999,0.5172564387321472,1.000435709953308
-1.6344084,-38.315582275390625,41000,510,4100,-0.007764220237731934,16.876968383789062,80,0.0001,4099,0.8475967645645142,1.000200867652893
1.2479899,-38.31303787231445,42000,510,4200,0.009415805339813232,62.8184928894043,82,0.0001,4199,3.249743700027466,1.0000817775726318
-0.30441058,-38.315853118896484,43000,510,4300,-0.00208127498626709,60.20988845825195,84,0.0001,4299,4.535167217254639,1.0001986026763916
-0.26285532,-38.31585693359375,44000,510,4400,0.05585932731628418,124.2969970703125,86,0.0001,4399,13.163986206054688,1.000212550163269
0.111003056,-38.313880920410156,45000,510,4500,0.007999598979949951,22.682147979736328,88,0.0001,4499,2.017958879470825,1.000130295753479
-0.71967256,-38.314510345458984,46000,510,4600,-0.9480651617050171,-67.85595703125,90,0.0001,4599,2.961625337600708,1.0000978708267212
0.52528095,-38.31475830078125,47000,510,4700,-0.1497558355331421,-34.52779006958008,91,0.0001,4699,1.1766377687454224,1.0001375675201416
0.6215274,-38.323486328125,48000,510,4800,0.00502854585647583,30.054529190063477,93,0.0001,4799,0.987897515296936,1.0004667043685913
-0.12485242,-38.32141876220703,49000,510,4900,0.07075095176696777,-0.9604629874229431,95,0.0001,4899,1.6330598592758179,1.0003949403762817
-0.11088197,-38.319923400878906,50000,510,5000,0.3537454605102539,-8.424992561340332,97,0.0001,4999,0.5909910202026367,1.0003470182418823
0.09955845,-38.32637023925781,51000,510,5100,0.2440778613090515,-20.85429573059082,99,0.0001,5099,0.7698602080345154,1.0005735158920288
-0.79793334,-38.341346740722656,52000,510,5200,-0.2783350944519043,-0.877919614315033,101,0.0001,5199,0.10861082375049591,1.0011510848999023
1.3432068,-38.343746185302734,53000,511,5300,0.003614485263824463,22.258426666259766,103,0.0001,5299,0.8741523027420044,1.0012235641479492
0.16420513,-38.34611511230469,54000,511,5400,0.5375285148620605,-60.98714065551758,105,0.0001,5399,3.0675771236419678,1.001341462135315
0.38281557,-38.35139846801758,55000,511,5500,-0.2540407180786133,24.792184829711914,107,0.0001,5499,0.7447439432144165,1.0014927387237549
